cost        CG2        HBCS        ScaleStar
2        12154.65        20322.87        12170.45
3        8475.43        14506.32        8480.17
4        7140.08        10015.58        7813.77
5        6435.92        6776.53        7813.77
6        5987.49        5990.98        7813.77
7        5672.83        5769.95        7813.77
8        5445.4        5664.08        7813.77
9        5273.27        5523.52        7813.77
10        5140.48        5445.8        7813.77
11        5032.04        5372.99        7813.77
12        4944.4        5313.11        7813.77
13        4869.77        5255.3        7813.77
14        4807.59        5194.33        7813.77
15        4754.03        5152.24        7813.77
16        4706.54        5118.55        7813.77
17        4662.44        5083.72        7813.77
18        4626.1        5046.24        7813.77
19        4590.74        5016.23        7813.77
20        4560.29        4994.03        7813.77
21        4535.02        4535.02        7813.77
