cost        CG2        HBCS        ScaleStar
2        9957.49        16703.72        9969.67
3        6942.25        11726.71        6953.02
4        5851.57        8108.14        6410.65
5        5272.28        5915.47        6410.65
6        4899.32        4907.31        6410.65
7        4648.1        4733.99        6410.65
8        4462.3        4641.91        6410.65
9        4323.85        4530.43        6410.65
10        4212.46        4453.47        6410.65
11        4123.97        4387.67        6410.65
12        4052.04        4346.26        6410.65
13        3991.33        4297.01        6410.65
14        3941.85        4258.45        6410.65
15        3897.09        4226.07        6410.65
16        3856.24        4197.23        6410.65
17        3821.4        4169        6410.65
18        3791.24        4136.53        6410.65
19        3763.13        4115.02        6410.65
20        3738.6        4092.29        6410.65
21        3717.89        3717.89        6410.65
