cost        CG2        HBCS        ScaleStar
2        10039.24        16686.52        10044.76
3        7007.22        11936.3        7010.4
4        5907.21        8272.16        6462.9
5        5318.15        5789.81        6462.9
6        4941.4        4944.64        6462.9
7        4686.61        4774.67        6462.9
8        4501.1        4673.92        6462.9
9        4358.94        4573.97        6462.9
10        4247.97        4496.65        6462.9
11        4160.78        4439.78        6462.9
12        4088.05        4380.89        6462.9
13        4025.97        4334.19        6462.9
14        3975        4296.38        6462.9
15        3928.45        4261.04        6462.9
16        3889.81        4222.77        6462.9
17        3855.22        4194.37        6462.9
18        3822.87        4166.48        6462.9
19        3794.86        4151.19        6462.9
20        3770.32        4133.55        6462.9
21        3749.72        3749.72        6462.9
