|V|=20, |E|=29, |L|=6, CCR=5.01, AvgDeg=2.9

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      777      0.84      43      45      1
2      714      0.78      46      19      1
3      285      0.1      13      28      1
4      50      0.25      7      29      1
5      900      0.34      47      6      1
6      94      0.75      47      6      1
7      58      0.52      26      22      1
8      900      0.65      41      22      1
9      915      0.58      31      27      2
10      438      0.7      47      21      2
11      1001      0.42      29      45      3
12      147      0.5      28      7      3
13      127      0.49      27      21      3
14      389      0.23      36      30      3
15      599      0.53      7      26      3
16      902      0.36      21      10      4
17      668      0.83      52      17      4
18      117      0.83      25      9      4
19      1      0      1      1      5

src    dst    datasize
0      1      967
0      2      565
0      3      130
0      4      1791
0      5      2687
0      6      2114
0      7      2995
0      8      2630
1      9      1894
2      10      2859
3      9      1702
4      10      612
5      10      2747
6      9      1493
7      10      29
8      10      1158
9      11      549
9      12      1836
9      13      234
10      14      1883
10      15      1656
11      16      332
12      17      2878
13      18      2735
14      16      23
15      18      742
16      19      892
17      19      2437
18      19      2906
