|V|=20, |E|=27, |L|=6, CCR=5.01, AvgDeg=2.7

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      214      0.65      37      9      1
2      290      0.16      25      26      1
3      323      0.22      25      15      1
4      175      0.41      48      33      2
5      368      0.83      20      19      2
6      17      0.19      39      28      2
7      355      0.8      41      45      2
8      535      0.54      39      22      2
9      101      0.39      41      51      2
10      476      0.67      16      18      3
11      297      0.24      15      54      3
12      434      0.54      44      40      3
13      277      0.5      33      35      3
14      423      0.17      46      8      3
15      397      0.52      19      12      3
16      634      0.68      39      53      3
17      406      0.82      51      19      4
18      531      0.14      38      37      4
19      1      0      1      1      5

src    dst    datasize
0      1      1622
0      2      1421
0      3      195
1      4      1700
1      5      56
2      6      2189
2      7      242
3      8      1140
3      9      1035
4      10      1801
4      11      488
5      12      2342
5      13      1779
6      14      2519
6      15      712
7      16      404
8      10      420
9      16      642
10      17      1294
11      18      1704
12      18      1792
13      18      143
14      18      1560
15      18      1247
16      18      513
17      19      2173
18      19      188
