|V|=20, |E|=26, |L|=6, CCR=5.01, AvgDeg=2.6

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      32      0.29      14      24      1
2      125      0.38      8      37      1
3      238      0.79      12      15      1
4      60      0.73      6      22      1
5      679      0.15      5      52      1
6      432      0.1      21      47      1
7      523      0.29      15      27      2
8      762      0.53      8      13      2
9      708      0.84      54      13      2
10      950      0.63      47      27      2
11      216      0.47      5      29      2
12      328      0.43      34      40      3
13      606      0.35      44      29      3
14      930      0.23      29      19      3
15      394      0.85      54      10      4
16      783      0.57      9      45      4
17      534      0.31      6      12      4
18      581      0.74      45      33      4
19      1      0      1      1      5

src    dst    datasize
0      1      462
0      2      2707
0      3      2824
0      4      2394
0      5      1019
0      6      1087
1      7      1094
2      8      2218
3      9      1654
4      10      1862
5      11      1000
6      10      2449
7      12      616
8      13      2020
9      14      1453
10      12      1213
11      13      2760
12      15      2401
12      16      1485
13      17      2115
13      18      1645
14      18      2837
15      19      1556
16      19      2834
17      19      17
18      19      741
