|V|=20, |E|=27, |L|=6, CCR=5.01, AvgDeg=2.7

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      714      0.11      6      42      1
2      655      0.58      22      51      1
3      548      0.56      27      50      1
4      582      0.45      54      25      1
5      496      0.65      53      28      2
6      103      0.53      54      12      2
7      494      0.36      27      47      2
8      20      0.6      29      24      3
9      453      0.46      10      23      3
10      175      0.54      52      38      3
11      660      0.32      19      7      3
12      598      0.51      26      15      3
13      275      0.6      52      35      4
14      579      0.63      34      12      4
15      253      0.79      42      35      4
16      545      0.77      48      18      4
17      376      0.61      32      54      4
18      382      0.19      23      18      4
19      1      0      1      1      5

src    dst    datasize
0      1      1311
0      2      1647
0      3      1668
0      4      1221
1      5      294
2      6      868
3      7      1228
4      6      2218
5      8      924
5      9      1068
6      10      2069
6      11      2315
7      12      198
8      13      1873
8      14      2412
9      15      1993
9      16      1169
10      17      1432
10      18      684
11      14      1765
12      13      1958
13      19      2080
14      19      601
15      19      2739
16      19      2027
17      19      190
18      19      1642
