|V|=20, |E|=26, |L|=6, CCR=5.01, AvgDeg=2.6

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      337      0.16      27      26      1
2      93      0.45      53      20      1
3      648      0.88      8      37      1
4      201      0.85      12      34      1
5      792      0.29      9      18      1
6      717      0.86      10      51      1
7      376      0.52      46      51      2
8      49      0.88      49      43      2
9      131      0.2      30      28      2
10      214      0.74      9      8      3
11      431      0.18      14      9      3
12      826      0.58      6      37      3
13      621      0.14      31      37      3
14      292      0.73      5      42      3
15      134      0.59      36      15      4
16      131      0.35      37      43      4
17      30      0.84      9      20      4
18      564      0.49      25      5      4
19      1      0      1      1      5

src    dst    datasize
0      1      1099
0      2      207
0      3      1190
0      4      1044
0      5      1875
0      6      13
1      7      2148
2      8      1501
3      9      1054
4      8      2358
5      7      2825
6      8      691
7      10      1009
7      11      1176
8      12      2985
8      13      857
9      14      1385
10      15      308
11      16      637
12      17      1216
13      18      746
14      18      1273
15      19      1447
16      19      1763
17      19      303
18      19      1888
