|V|=20, |E|=26, |L|=6, CCR=5.01, AvgDeg=2.6

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      322      0.51      44      11      1
2      464      0.37      44      27      1
3      144      0.61      48      46      1
4      652      0.55      44      33      2
5      708      0.41      30      38      2
6      256      0.33      29      28      2
7      99      0.36      28      7      2
8      417      0.11      46      52      2
9      528      0.77      7      47      3
10      216      0.29      8      32      3
11      107      0.56      47      18      3
12      542      0.13      43      53      3
13      428      0.87      9      31      4
14      229      0.83      31      29      4
15      414      0.3      33      41      4
16      664      0.78      39      16      4
17      851      0.2      49      16      4
18      67      0.25      10      43      4
19      1      0      1      1      5

src    dst    datasize
0      1      487
0      2      794
0      3      1222
1      4      965
1      5      1787
2      6      506
2      7      1179
3      8      1270
4      9      2309
5      10      961
6      11      2417
7      12      2553
8      11      1578
9      13      2782
9      14      2753
10      15      203
10      16      345
11      17      31
11      18      1812
12      14      1786
13      19      85
14      19      2866
15      19      334
16      19      1889
17      19      2660
18      19      33
