|V|=20, |E|=24, |L|=6, CCR=5.01, AvgDeg=2.4

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      469      0.61      30      49      1
2      160      0.8      44      10      1
3      681      0.8      44      41      1
4      198      0.3      51      30      2
5      302      0.76      53      49      2
6      468      0.33      10      18      2
7      822      0.59      26      34      2
8      368      0.33      22      20      2
9      669      0.51      52      43      2
10      111      0.82      27      14      3
11      830      0.13      16      24      3
12      602      0.62      20      12      3
13      98      0.66      27      8      3
14      601      0.38      6      5      3
15      335      0.5      47      12      3
16      74      0.21      12      35      4
17      494      0.28      12      14      4
18      52      0.39      12      37      4
19      1      0      1      1      5

src    dst    datasize
0      1      994
0      2      1815
0      3      1239
1      4      1404
1      5      2005
2      6      408
2      7      1624
3      8      1111
3      9      2934
4      10      485
5      11      1170
6      12      2788
7      13      978
8      14      1500
9      15      581
10      16      1667
11      17      675
12      18      2948
13      16      251
14      17      1976
15      17      2841
16      19      1988
17      19      1512
18      19      1825
