|V|=20, |E|=26, |L|=6, CCR=5.01, AvgDeg=2.6

id   workload   alpha   ram   disk   layer
0      1      0      1      1      0
1      444      0.81      15      27      1
2      312      0.74      45      34      1
3      557      0.89      28      47      1
4      544      0.39      24      51      2
5      195      0.5      53      34      2
6      70      0.75      10      48      2
7      556      0.41      7      39      3
8      379      0.1      21      44      3
9      649      0.37      36      16      3
10      651      0.57      32      31      3
11      255      0.53      9      27      3
12      120      0.25      6      15      4
13      462      0.61      25      34      4
14      192      0.11      45      28      4
15      88      0.29      21      33      4
16      213      0.79      45      34      4
17      67      0.9      30      32      4
18      494      0.82      48      12      4
19      1      0      1      1      5

src    dst    datasize
0      1      937
0      2      1334
0      3      2918
1      4      991
2      5      1569
3      6      1186
4      7      2268
4      8      1467
5      9      2065
5      10      888
6      11      1571
7      12      778
7      13      736
8      14      96
8      15      687
9      16      1399
9      17      2942
10      18      1189
11      17      1453
12      19      158
13      19      22
14      19      457
15      19      383
16      19      1316
17      19      1331
18      19      1169
