cost        CG2        HBCS        ScaleStar
1        4727.55        5966.85        4747.95
2        3700.11        4809.08        3703.94
3        3033.93        4179.72        3042.42
4        2572.45        3341.27        2572.59
5        2347.37        2774.32        2351.87
6        2143.98        2167.92        2152.97
7        2029.26        2060.78        2152.97
8        1938.01        2022.18        2152.97
9        1840.93        1974.61        2152.97
10        1784.5        1934.05        2152.97
11        1716.03        1872.55        2152.97
12        1675.65        1840.64        2152.97
13        1634.37        1809.76        2152.97
14        1597.46        1805.62        2152.97
15        1569.52        1781.23        2152.97
16        1537.58        1758.96        2152.97
17        1517.2        1752.82        2152.97
18        1491.27        1747.15        2152.97
19        1472.82        1731.2        2152.97
20        1454.91        1454.91        2152.97
