cost        CG2        HBCS        ScaleStar
2        5474.1        6991.35        5493.22
3        4285.16        5593.6        4290.05
4        3511.66        4718.24        3529.09
5        2974.18        4265.75        2976.45
6        2719.39        3298.03        2722.22
7        2480.4        2489.11        2487.62
8        2347.3        2380.83        2487.62
9        2231.48        2326.85        2487.62
10        2126.76        2269.77        2487.62
11        2052.42        2224.25        2487.62
12        1983.95        2162.33        2487.62
13        1932.24        2117.19        2487.62
14        1887.66        2091.81        2487.62
15        1844.38        2071.93        2487.62
16        1812.22        2066.48        2487.62
17        1778.4        2048        2487.62
18        1753.34        2028.42        2487.62
19        1725.07        2011.06        2487.62
20        1703.77        1998.7        2487.62
21        1682.11        1682.11        2487.62
