cost        CG2        HBCS        ScaleStar
2        5180.62        6441.6        5238.21
3        4054.16        5196        4063.3
4        3321.89        4272.19        3335.98
5        2821.24        3856.32        2823.19
6        2576.72        3009.9        2577
7        2356.15        2438.6        2359.65
8        2221.88        2270.81        2359.65
9        2107.83        2218.8        2359.65
10        2017.78        2142.57        2359.65
11        1943.8        2089.75        2359.65
12        1882.76        2058.02        2359.65
13        1833.4        2019.48        2359.65
14        1788.57        1995.49        2359.65
15        1750.53        1977.64        2359.65
16        1718.54        1947.92        2359.65
17        1686.9        1931.5        2359.65
18        1661.77        1907.05        2359.65
19        1636.57        1906.23        2359.65
20        1616.56        1895.69        2359.65
21        1596.32        1596.32        2359.65
