cost        CG2        HBCS        ScaleStar
2        5240.28        6638.95        5284.05
3        4098.09        5182.69        4095.54
4        3359.44        4509.56        3362.2
5        2844.9        3922.63        2848.45
6        2597.98        3242.35        2601.52
7        2373.79        2384.88        2382.43
8        2242.57        2276.68        2382.43
9        2134.92        2229.25        2382.43
10        2035.1        2171.41        2382.43
11        1966.67        2110.74        2382.43
12        1899.07        2081.2        2382.43
13        1852.09        2038.73        2382.43
14        1808.25        2003.48        2382.43
15        1767.16        1989.02        2382.43
16        1736.58        1969.83        2382.43
17        1701.81        1955.66        2382.43
18        1678.49        1936.26        2382.43
19        1651.35        1923.79        2382.43
20        1630.81        1912.29        2382.43
21        1609.93        1609.93        2382.43
