cost        CG2        HBCS        ScaleStar
2        4547.5        5773.41        4561.95
3        3546.63        4591.49        3569.86
4        2915.36        3898.67        2943.76
5        2469.7        3346.38        2470.17
6        2255.05        2817.04        2252.29
7        2053.88        2064.58        2062.67
8        1944.38        1971.92        2062.67
9        1848.32        1915.45        2062.67
10        1762.62        1877.98        2062.67
11        1702.05        1840.85        2062.67
12        1644.69        1784.99        2062.67
13        1602.44        1749.13        2062.67
14        1564.05        1739.33        2062.67
15        1530.45        1716.47        2062.67
16        1501.8        1709.41        2062.67
17        1474.48        1687.95        2062.67
18        1452.36        1673.97        2062.67
19        1429.93        1666.43        2062.67
20        1412.6        1658.89        2062.67
21        1394.76        1394.76        2062.67
