cost        CG2        HBCS        ScaleStar
2        6166.58        9166.08        6164.8
3        4661.86        7039.67        4678.65
4        3766.32        5186.88        3772.69
5        3323.5        3742.04        3272.54
6        3035.22        3320.01        3272.54
7        2815.18        2823.62        3272.54
8        2680.09        2757.47        3272.54
9        2560.82        2696.66        3272.54
10        2462.81        2644.24        3272.54
11        2395.66        2583.13        3272.54
12        2331.18        2536.1        3272.54
13        2284.36        2505.08        3272.54
14        2237.12        2491.29        3272.54
15        2198.4        2450.12        3272.54
16        2168        2430.57        3272.54
17        2138.01        2423.15        3272.54
18        2109.81        2387.86        3272.54
19        2088.54        2359.52        3272.54
20        2065.77        2347.73        3272.54
21        2045.97        2045.97        3272.54
