cost        CG2        HBCS        ScaleStar
1        5508.5        7759.72        5350.19
2        4297.68        6532.18        4307.95
3        3375.71        4889.17        3347.59
4        2996.47        3745.28        2998.66
5        2688.63        2797.74        2728.33
6        2512.43        2515.4        2728.33
7        2363.2        2396.94        2728.33
8        2259.26        2328.63        2728.33
9        2169.83        2300        2728.33
10        2103.36        2262.53        2728.33
11        2041.75        2243.31        2728.33
12        1996.31        2214.06        2728.33
13        1947.56        2187.12        2728.33
14        1914.22        2157.49        2728.33
15        1881.33        2113.41        2728.33
16        1855.55        2093.93        2728.33
17        1828.83        2085.09        2728.33
18        1804.8        2067.73        2728.33
19        1784.95        2056.99        2728.33
20        1765.45        1765.45        2728.33
