cost        CG2        HBCS        ScaleStar
2        5314.99        7500.69        5118.21
3        4116.7        6177.74        4124.14
4        3246.16        4864.42        3206.49
5        2869.25        3448.32        2872.09
6        2584.01        2737.4        2616.8
7        2414.62        2409.28        2616.8
8        2265.71        2288.61        2616.8
9        2173.77        2243.97        2616.8
10        2076.37        2207.21        2616.8
11        2017.56        2179.98        2616.8
12        1953.68        2151.26        2616.8
13        1913.12        2103.08        2616.8
14        1866.57        2068.35        2616.8
15        1833.83        2054.23        2616.8
16        1800.29        2034.49        2616.8
17        1774.85        2009.82        2616.8
18        1748.7        1988.42        2616.8
19        1729.03        1979.6        2616.8
20        1708.62        1970.12        2616.8
21        1690.18        1690.18        2616.8
