cost        CG2        HBCS        ScaleStar
1        5499.39        7860.55        5474.1
2        4389.71        6575.13        4403.52
3        3453.51        5211.8        3423.9
4        3066.9        3792.98        3068.03
5        2755.23        2769.36        2795.01
6        2573.05        2583.14        2795.01
7        2419.05        2440.03        2795.01
8        2315.12        2393.81        2795.01
9        2220.87        2346.98        2795.01
10        2154.66        2323.41        2795.01
11        2088.77        2293.44        2795.01
12        2043.6        2262.47        2795.01
13        1996.26        2223.81        2795.01
14        1961.42        2201.9        2795.01
15        1925.16        2177.52        2795.01
16        1896.8        2149.41        2795.01
17        1870.94        2133.57        2795.01
18        1847.19        2122.7        2795.01
19        1826.12        2109.64        2795.01
20        1807.7        1807.7        2795.01
