cost        CG2        HBCS        ScaleStar
2        5596.38        7773.58        5497.92
3        4405.45        6759.21        4419.05
4        3461.67        5142.94        3435.25
5        3077.4        3706.51        3076.83
6        2761.59        2796.48        2807.88
7        2580.04        2589.39        2807.88
8        2426.3        2454.68        2807.88
9        2318.92        2389.31        2807.88
10        2227.39        2364.9        2807.88
11        2159.44        2341.81        2807.88
12        2095.67        2314.56        2807.88
13        2048.8        2272.52        2807.88
14        2002.86        2251.44        2807.88
15        1966.34        2210.4        2807.88
16        1930.82        2174.14        2807.88
17        1904.42        2150.87        2807.88
18        1877.01        2134.95        2807.88
19        1852.77        2114.94        2807.88
20        1833.71        2105.53        2807.88
21        1814.49        1814.49        2807.88
