cost        CG2        HBCS        ScaleStar        OPT
1        637.5        686.8        667.68        637.5
2        470.9        627.51        499.8        470.9
3        409.7        459.64        409.7        409.7
4        374.85        389.94        383.14        374.85
5        346.16        355.09        348.29        346.16
6        311.31        306        306        306
7        271.15        271.15        271.15        271.15
8        259.53        347.72        257.76        257.76
9        246.15        278.02        246.15        246.15
10        236.37        333.73        246.15        236.37
11        224.75        264.03        229.78        224.75
12        214.77        229.18        218.17        214.77
13        208.96        217.56        218.17        208.96
14        204.18        211.76        218.17        203.62
15        198.37        201.47        218.17        197.48
16        191.68        202.37        218.17        191.68
17        188.19        196.56        218.17        187.66
18        183.28        193.08        218.17        183.28
19        179.8        186.49        218.17        179.8
20        175.78        175.78        218.17        175.78
