cost        CG2        HBCS        ScaleStar        OPT
1        884.1        884.1        884.1        861.58
2        683.92        709.85        709.85        683.92
3        603.18        708.15        603.18        603.18
4        520.72        661.4        520.72        516.05
5        467.39        473.97        473.97        467.39
6        420.64        433.6        433.6        420.64
7        380.26        420.14        380.26        380.26
8        362.48        406.12        364.68        362.48
9        352.78        392.66        352.78        346.9
10        335        339.32        337.2        332.59
11        319.42        323.74        323.74        317.01
12        305.96        305.96        305.96        305.96
13        292.22        297.07        305.96        291.44
14        283.33        291.74        305.96        283.33
15        275.54        291.74        305.96        275.54
16        268.81        291.74        305.96        268.81
17        263.47        285.01        305.96        263.47
18        260.56        285.01        305.96        258.8
19        255.23        285.01        305.96        254.76
20        246.52        246.52        305.96        246.52
