cost        CG2        HBCS        ScaleStar        OPT
1        877.12        935.99        877.12        877.12
2        709.89        709.89        709.89        709.89
3        602.58        776.19        602.58        602.58
4        532.88        622.34        551.15        532.88
5        481.45        519.49        515.02        478.69
6        442.56        442.56        442.56        442.56
7        391.14        516.23        391.14        391.14
8        374        413.38        386.68        374
9        357.49        387.74        357.49        357.46
10        336.31        336.31        340.35        336.31
11        319.17        319.17        331.85        319.17
12        311.14        323.49        314.71        310.6
13        300.12        306.35        314.71        299.66
14        291.55        297.78        314.71        291.55
15        283.73        292.64        314.71        283.73
16        275.16        292.64        314.71        275.16
17        270.01        292.64        314.71        270.01
18        266.4        292.64        314.71        264.83
19        260.05        292.64        314.71        260.05
20        253.56        253.56        314.71        253.56
