cost        CG2        HBCS        ScaleStar        OPT
1        1112.08        1036        1036        1035.58
2        829.45        966.72        874.07        829.45
3        732.55        825.62        732.55        732.55
4        651.59        744.66        667.95        651.59
5        580.82        674.11        603.14        580.82
6        510.28        532.59        532.59        510.28
7        461.83        509.07        461.83        461.83
8        434.84        482.08        445.67        434.84
9        418.69        482.08        418.69        414.72
10        395.1        411.32        395.17        395.1
11        387.73        387.73        395.17        386.78
12        363.51        375.94        371.58        363.51
13        358.09        368.86        371.58        358.09
14        346.3        368.86        371.58        345.17
15        334.54        352.71        371.58        334.54
16        326.46        352.71        371.58        326.46
17        318.37        340.96        371.58        318.37
18        313.52        340.96        371.58        312.33
19        306.44        340.96        371.58        306.44
20        299.39        299.39        371.58        299.39
