cost        CG2        HBCS        ScaleStar        OPT
1        1283.32        1286.73        1286.73        1283.32
2        1074.65        1076.77        1076.77        1073.38
3        864.7        1004.74        864.7        864.7
4        790.96        980.51        792.66        775.88
5        702.14        703.84        703.84        702.14
6        643.56        662.4        660.77        643.56
7        565.5        631.16        565.5        565.5
8        535.89        535.89        535.89        535.89
9        514        532.85        519.95        514
10        484.61        562.67        490.35        484.61
11        465.77        465.77        465.77        465.77
12        446.39        480.39        455        446.39
13        431.94        534.39        455        431.94
14        419.94        426.72        455        419.94
15        411.32        418.11        455        411.32
16        396.52        418.11        455        396.52
17        389.15        418.11        455        389.15
18        385.92        418.11        455        384.1
19        375.48        418.11        455        375.48
20        366.6        418.11        455        369.83
