cost        CG2        HBCS        ScaleStar        OPT
1        614.75        658.52        658.52        614.75
2        479.6        548.88        548.88        479.6
3        408.62        526.14        408.62        408.62
4        369.31        484.06        385.89        369.31
5        338.5        343.81        343.81        338.5
6        296.42        343.81        335.31        296.42
7        273.69        329.79        273.69        273.69
8        259.66        259.66        257.61        257.61
9        250.31        259.66        257.61        250.31
10        236.29        236.29        243.58        234.23
11        227.79        236.29        243.58        227.79
12        215.96        227.79        220.21        215.96
13        208.52        216.1        220.21        208.52
14        204.27        216.1        220.21        204.27
15        197.26        209.09        220.21        197.26
16        193.47        201.51        220.21        193.05
17        189.26        201.51        220.21        188.64
18        186.46        201.51        220.21        186.04
19        182.25        201.51        220.21        181.63
20        177.42        201.51        220.21        179.7
