cost        CG2        HBCS        ScaleStar        OPT
1        967.6        1005.42        1005.42        967.6
2        735.13        853.28        738.53        735.13
3        644.18        798.24        645.88        644.18
4        590.84        737.04        590.84        590.84
5        540.48        529.64        529.64        529.64
6        487.14        520.29        509.24        487.14
7        425.94        425.94        425.94        425.94
8        405.54        485.72        405.54        405.54
9        391.37        387.19        387.76        387.19
10        370.97        394.56        377.28        370.97
11        352.63        352.63        353.19        352.63
12        337.47        345.83        342.71        337.47
13        328.58        429.8        342.71        328.58
14        320.18        356.99        342.71        318.38
15        311.29        315.06        342.71        311.29
16        301.09        306.67        342.71        301.09
17        294.97        306.67        342.71        294.97
18        287.75        306.67        342.71        287.75
19        282.25        306.67        342.71        282.25
20        276.12        276.12        342.71        276.12
