cost        CG2        HBCS        ScaleStar        OPT
1        995.05        1002.28        1002.28        995.05
2        808.48        808.48        808.48        808.48
3        679.95        913.02        684.8        679.95
4        595.98        595.55        595.55        595.55
5        534.14        595.55        595.55        534.14
6        494.61        498.65        498.65        494.61
7        432.78        590.02        436.81        432.78
8        413.51        468.9        416.2        413.51
9        399.67        436.6        407.06        399.67
10        374.76        374.76        374.76        374.76
11        354.15        354.15        354.15        354.15
12        349.3        358.61        354.15        343.84
13        333.16        338        354.15        333.16
14        323.66        327.69        354.15        323.66
15        318.28        321.51        354.15        318.28
16        307.97        321.51        354.15        307.97
17        301.79        321.51        354.15        301.2
18        298.28        321.51        354.15        297.71
19        289.36        321.51        354.15        289.36
20        283.18        283.18        354.15        283.18
