cost        CG2        HBCS        ScaleStar        OPT
1        968.2        979.68        979.68        968.2
2        799.26        799.26        799.26        799.26
3        650.3        888.51        650.3        650.3
4        571.25        576.99        576.99        571.25
5        563.22        637.98        572.53        518.12
6        486.78        493.48        489.01        486.78
7        416.76        465.64        416.76        416.76
8        397.14        465.64        416.76        397.14
9        385.36        439.71        390.84        385.36
10        363        367.46        363        363
11        343.38        343.38        363        343.38
12        335.35        343.38        338.92        335.35
13        322.77        331.34        338.92        322.38
14        312.96        324.11        338.92        312.96
15        308.47        310.19        338.92        308.47
16        296.42        310.19        338.92        296.42
17        289.2        310.19        338.92        289.2
18        288.07        310.19        338.92        288.07
19        280.3        305.73        338.92        280.3
20        273.07        273.07        338.92        273.07
