cost        CG2        HBCS        ScaleStar        OPT
1        597.93        640.43        597.93        597.93
2        461.08        583.05        570.94        461.08
3        393.5        538.42        393.5        393.5
4        352.06        352.06        352.06        352.06
5        311.69        345.37        343.07        311.69
6        283.64        344.03        333.72        283.64
7        252.12        256.65        252.12        252.12
8        242.77        248.62        242.77        242.77
9        238.09        238.23        238.3        236.04
10        220.31        220.38        238.3        220.31
11        206.5        216.81        206.5        206.5
12        201.83        222.33        206.5        201.83
13        199.02        204.41        206.5        195.99
14        190.6        190.6        206.5        190.6
15        191.82        187.03        206.5        185.92
16        180.09        198.91        206.5        180.09
17        177.28        181.06        206.5        177.28
18        175.92        177.49        206.5        174.12
19        170.52        177.49        206.5        170.52
20        166.38        166.38        206.5        166.38
