cost        CG2        HBCS        ScaleStar        OPT
1        435.39        455.05        435.39        435.39
2        312.25        410.42        410.42        312.25
3        269.75        408.04        270.81        269.75
4        253.32        255.05        255.19        253.32
5        245.98        255.05        246.13        245.98
6        205.74        255.05        246.13        205.74
7        178.69        178.69        178.69        178.69
8        169.63        178.55        169.63        169.63
9        165.84        178.55        169.63        165.84
10        153.94        174.44        169.63        153.94
11        144.87        148.94        144.87        144.87
12        140.34        148.94        144.13        140.34
13        137.96        148.94        144.13        137.96
14        136.73        143.98        144.13        135.49
15        128.9        131.23        144.13        128.9
16        126.7        131.23        144.13        126.35
17        123.98        131.23        144.13        123.98
18        123.98        123.58        144.13        121.99
19        119.04        123.58        144.13        119.04
20        116.32        116.32        144.13        116.32
