cost        CG2        HBCS        ScaleStar        OPT
1        1284.08        1316.8        1316.8        1210.12
2        984.45        1235.2        1046.92        984.45
3        851        965.32        851        851
4        753.04        898.6        769.4        753.04
5        671.44        830.39        702.68        671.44
6        603.22        634.46        634.46        603.22
7        536.5        611.72        536.5        536.5
8        509.3        513.76        509.3        509.3
9        503.85        513.76        487.06        486.56
10        476.65        458.87        464.32        458.87
11        453.91        464.32        464.32        447.5
12        431.67        431.67        431.67        431.67
13        415.34        415.34        431.67        413.87
14        401.74        405.54        431.67        401.74
15        390.37        405.54        431.67        390.37
16        379.25        405.54        431.67        379.25
17        369.45        405.54        431.67        369.45
18        362.63        405.54        431.67        362.63
19        361.29        405.54        431.67        355.96
20        347.8        347.8        431.67        347.8
