cost        CG2        HBCS        ScaleStar        OPT
1        1107.65        1125.08        1125.08        1037.52
2        824.18        1052.61        868.8        824.18
3        730.25        911.72        730.25        730.25
4        649.08        749.38        657.79        649.08
5        576.61        668.2        595.17        576.61
6        507.34        529.65        529.65        507.34
7        460.38        502.59        460.38        460.38
8        436.22        502.59        436.22        436.22
9        417.66        433.32        420.57        417.66
10        409.16        410.22        397.48        394.57
11        386.07        394.57        393.51        385.68
12        362.59        370.42        370.42        362.59
13        356.89        358.87        370.42        356.89
14        344.81        351.94        370.42        344.36
15        333.26        338.41        370.42        333.26
16        325.44        338.41        370.42        325.44
17        317.32        338.41        370.42        317.32
18        312.62        338.41        370.42        311.26
19        305.38        338.41        370.42        305.38
20        298.45        298.45        370.42        298.45
