cost        CG2        HBCS        ScaleStar        OPT
1        707.58        739.88        739.88        707.58
2        545.65        704.6        577.95        545.65
3        469.79        542.68        469.79        469.79
4        428.35        434.51        434.51        428.35
5        388.82        461.71        393.08        388.82
6        347.39        353.55        353.55        347.39
7        312.11        434.72        312.11        312.11
8        298.3        326.56        300.35        298.3
9        285.12        318.13        291.92        285.12
10        271.31        276.7        273.37        271.31
11        259.55        262.88        264.94        258.67
12        245.25        255.98        251.12        245.25
13        238.34        244.22        251.12        238.34
14        231.75        240.08        251.12        231.75
15        224.85        240.08        251.12        224.85
16        220.63        226.58        251.12        220.63
17        216.49        226.58        251.12        216.49
18        212.54        226.58        251.12        212.54
19        208.39        226.58        251.12        206.48
20        202.34        202.34        251.12        202.34
