cost        CG2        HBCS        ScaleStar        OPT
1        826.48        841.35        841.35        826.48
2        665.82        665.82        665.82        665.82
3        563.23        675.39        568.08        563.23
4        499.86        499.86        499.86        499.86
5        475.47        450.99        450.99        450.99
6        408.06        412.1        412.1        408.06
7        359.19        480.6        363.22        359.19
8        344.24        382.85        346.93        344.24
9        329.13        360.11        340.49        329.13
10        311.23        311.23        311.23        311.23
11        294.94        345.48        294.94        294.94
12        286.8        296.61        294.94        286.8
13        277.62        280.31        294.94        277.62
14        268.13        272.17        294.94        268.13
15        264.1        267.28        294.94        264.1
16        255.96        267.28        294.94        255.96
17        249.13        267.28        294.94        249.13
18        247.18        267.28        294.94        245.05
19        240.36        267.28        294.94        240.36
20        235.47        235.47        294.94        235.47
