cost        CG2        HBCS        ScaleStar        OPT
1        926.42        1021.41        897.95        897.95
2        679.92        774.91        774.91        679.92
3        605.34        798.92        605.34        605.34
4        545.41        700.75        556.25        545.41
5        496.33        651.66        522.89        496.33
6        446.39        482.09        473.8        446.39
7        397.3        397.3        397.3        397.3
8        380.94        457.37        389.01        380.94
9        360.75        356.22        364.29        356.22
10        344.32        356.22        347.93        343.79
11        327.95        327.95        347.93        327.95
12        315.52        327.95        319.67        315.52
13        305.54        313.82        319.67        303.16
14        297.35        305.34        319.67        294.98
15        289.03        305.34        319.67        289.03
16        280.85        305.34        319.67        280.85
17        273.43        305.34        319.67        273.43
18        269.88        305.34        319.67        268.53
19        264.96        297.06        319.67        264.96
20        257.56        257.56        319.67        257.56
