cost        CG2        HBCS        ScaleStar        OPT
1        1010.28        1026        1026        1010.28
2        752.72        768.02        768.02        752.72
3        662.2        806.7        669.85        662.2
4        596.11        603.98        603.98        596.11
5        560.84        628.41        541.07        541.07
6        502.61        545.54        502.61        502.61
7        439.71        539.38        439.71        439.71
8        418.75        505.16        418.75        418.75
9        396.72        437.66        399.34        396.72
10        380.35        400.83        387.58        380.35
11        374.48        365.55        365.55        363
12        347.91        383.93        353.79        347.91
13        336.9        336.9        353.79        336.9
14        326.41        331.02        353.79        326.41
15        315.44        327.49        353.79        315.44
16        308.07        327.49        353.79        308.07
17        304.54        327.49        353.79        304.54
18        297.17        322.89        353.79        297.17
19        291.34        322.89        353.79        291.34
20        285.06        285.06        353.79        285.06
