cost        CG2        HBCS        ScaleStar        OPT
1        1028.82        1028.82        1028.82        999.92
2        776.8        776.8        776.8        776.8
3        671.61        835.66        671.61        671.61
4        606.59        606.59        606.59        606.59
5        560.05        597.24        560.05        545.6
6        492.05        663.82        492.05        492.05
7        445.51        500.62        445.51        445.51
8        430        560.33        430        427.98
9        412.15        490.85        412.15        403.51
10        385.66        405.21        385.66        384.95
11        370.15        370.15        370.15        370.15
12        352.61        352.61        358.46        352.61
13        341.78        349.11        358.46        341.78
14        334.02        341.35        358.46        331.61
15        322.69        341.35        358.46        322.69
16        314.93        341.35        358.46        314.93
17        306.98        328.11        358.46        306.77
18        301.42        328.11        358.46        301.42
19        296.98        328.11        358.46        296.76
20        288.82        288.82        358.46        288.82
