cost        CG2        HBCS        ScaleStar        OPT
1        1198.55        1150.95        1150.95        1150.95
2        892.55        1083.59        892.55        892.55
3        795.22        825.19        795.22        795.22
4        703        826.68        727.86        703
5        617.36        642.22        642.22        617.36
6        550        550        550        550
7        501.34        618.78        501.34        501.34
8        478.88        521.45        478.88        478.88
9        454.38        490.71        462.66        454.38
10        442.05        572.67        434.12        431.92
11        419.6        426.68        419.6        417.72
12        395.26        410.46        403.38        395.26
13        388        402.35        403.38        384.04
14        373.73        379.89        403.38        373.73
15        362.5        375.03        403.38        362.5
16        354.39        375.03        403.38        354.39
17        345.83        375.03        403.38        345.83
18        340.3        365.8        403.38        339.09
19        331.74        365.8        403.38        331.74
20        325.01        325.01        403.38        325.01
