cost        CG2        HBCS        ScaleStar        OPT
1        749.3        827.08        787.55        749.3
2        549.98        737.82        689.38        549.98
3        480.28        659.62        490.05        480.28
4        441.18        620.52        453.64        441.18
5        410.36        421.2        414.54        410.36
6        371.26        421.2        404.62        360.64
7        321.54        321.54        321.54        321.54
8        308.5        321.54        304.96        304.96
9        288.32        288.32        291.93        288.32
10        275.28        275.28        291.93        275.28
11        265.3        275.28        291.93        265.3
12        252.19        275.28        258.71        252.19
13        247.23        258.67        258.71        247.23
14        238.77        248.76        258.71        238.77
15        232.25        242.1        258.71        232.25
16        227.29        232.13        258.71        226.71
17        221.39        232.13        258.71        221.39
18        217.33        232.13        258.71        217.33
19        213.42        232.13        258.71        213.42
20        208.45        208.45        258.71        208.45
