cost        CG2        HBCS        ScaleStar        OPT
1        891.28        953.32        953.32        891.28
2        721.28        907.21        782.9        721.28
3        607.52        615.24        607.52        607.52
4        543.84        667.72        561.4        543.84
5        497.72        497.72        497.72        497.72
6        442.69        623.17        476.19        442.69
7        396.58        453.17        396.58        396.58
8        375.82        384.32        375.82        375.82
9        360.1        360.1        375.82        360.1
10        339.84        339.84        347.42        339.84
11        324.47        330.15        324.47        324.47
12        314.78        320.29        319.08        314.78
13        304.88        333.32        319.08        304.88
14        294.5        309.1        319.08        294.5
15        288.02        292.11        319.08        288.02
16        278.72        292.11        319.08        278.72
17        274.11        292.11        319.08        274.11
18        270.2        292.11        319.08        269.9
19        263.32        292.11        319.08        263.32
20        257.09        257.09        319.08        257.09
