cost        CG2        HBCS        ScaleStar        OPT
1        1131        1090.2        1090.2        1084.25
2        880.25        1033.89        886.2        880.25
3        767.62        967.8        767.62        767.62
4        665.62        763.8        692.54        665.62
5        599.54        645.22        645.22        599.54
6        540.25        543.22        543.22        540.25
7        483.94        627.8        483.94        483.94
8        461.91        509.22        465.17        461.91
9        449.94        449.94        443.14        442.15
10        427.91        427.91        423.38        421.78
11        408.15        408.15        409.14        399.75
12        389.38        391.15        389.38        379.49
13        372.38        381.26        389.38        368.98
14        361.36        362.49        389.38        359.09
15        351.48        356.56        389.38        351.48
16        342.09        356.56        389.38        342.09
17        335.48        356.56        389.38        335.48
18        325.96        356.56        389.38        325.96
19        325.28        356.56        389.38        320.33
20        313.72        313.72        389.38        313.72
