cost        CG2        HBCS        ScaleStar        OPT
1        736.15        736.15        736.15        736.15
2        573.38        573.38        573.38        573.38
3        495.6        650.72        495.6        495.6
4        484.62        487.95        491.63        463.94
5        410.18        420.23        410.18        410.18
6        354.71        435.68        354.71        354.71
7        324.11        391.76        324.82        324.11
8        315.83        326.24        324.82        315.83
9        295.64        296.35        296.35        295.64
10        287.35        315.26        296.35        287.35
11        267.23        269.22        269.22        267.23
12        259.03        301.69        269.22        259.03
13        257.63        255.65        269.22        252.61
14        244.58        265.5        269.22        244.58
15        243.39        242.84        269.22        236.74
16        231.02        239.1        269.22        231.02
17        229.83        237.11        269.22        228.2
18        222.47        237.11        269.22        222.47
19        221.28        237.11        269.22        220.06
20        213.14        213.14        269.22        213.14
