cost        CG2        HBCS        ScaleStar        OPT
1        617.35        617.35        617.35        617.35
2        478.38        573.79        550.62        478.38
3        411.65        519.6        411.65        411.65
4        380.62        478.16        380.62        380.62
5        333.03        339.19        339.19        333.03
6        311.14        331.11        330.76        311.14
7        269.7        269.7        269.7        269.7
8        255.89        261.62        255.89        255.89
9        246.54        246.54        245.55        245.55
10        232.72        246.96        240.16        232.72
11        222.38        222.74        222.38        222.38
12        212.79        259.25        217        212.79
13        206.45        210.8        217        206.45
14        201.2        252.3        217        201.11
15        194.86        203.85        217        194.86
16        192.84        194.16        217        189.04
17        186.51        194.16        217        186.51
18        182.09        194.16        217        182.09
19        178.98        194.16        217        178.98
20        174.84        174.84        217        174.84
