cost        CG2        HBCS        ScaleStar        OPT
1        433.08        457.51        433.08        433.08
2        333.62        432.01        333.62        333.62
3        287.72        386.11        294.81        287.72
4        262.22        271.36        269.31        262.22
5        238        250.96        254.01        238
6        212.5        236.94        240.41        212.5
7        191.04        191.04        191.04        191.04
8        180.48        183.39        180.48        180.48
9        174.89        184.66        175.38        173.74
10        164.26        176.16        175.38        164.26
11        155.76        155.76        158.81        155.76
12        151.51        195.92        153.71        151.16
13        146.91        150.02        153.71        146.91
14        141.84        144.92        153.71        141.84
15        138.62        158.82        153.71        138.62
16        136.07        138.42        153.71        134.43
17        132.49        135.87        153.71        132.49
18        130.35        134.34        153.71        129.57
19        126.4        134.34        153.71        126.4
20        123.84        123.84        153.71        123.84
