cost        CG2        HBCS        ScaleStar        OPT
1        900.65        900.65        900.65        900.65
2        724.28        725.76        725.76        724.28
3        623.64        789.09        626.31        623.64
4        545.56        627.59        545.56        545.56
5        525.46        528.14        528.14        494.35
6        444.71        594.86        447.39        444.71
7        394.98        495.41        397.66        394.98
8        378.41        414.66        381.09        378.41
9        362.26        487.2        364.94        362.26
10        345.68        387.75        348.36        342.48
11        335.34        338.02        338.02        325.91
12        313.16        324.56        321.45        313.16
13        305.08        307.99        321.45        305.08
14        295.31        299.7        321.45        295.31
15        288.95        294.73        321.45        288.95
16        280.66        294.73        321.45        280.66
17        275.69        294.73        321.45        275.26
18        270.84        294.73        321.45        270.29
19        265.87        294.73        321.45        263.96
20        257.8        257.8        321.45        257.8
