cost        CG2        HBCS        ScaleStar        OPT
1        434.72        450.88        434.72        434.72
2        347.6        347.6        347.6        332.3
3        283.21        283.21        283.21        283.21
4        261.96        267.28        265.43        261.96
5        232        280.02        250.98        232
6        213.8        215.64        213.8        213.8
7        187.02        188.86        187.02        187.02
8        179.94        203.95        183.41        179.94
9        175.48        177.18        174.48        173.56
10        160.88        168.25        160.88        160.88
11        154.65        192.69        155.57        153.8
12        149.07        165.91        151.96        149.07
13        145.69        155.15        151.96        145.69
14        139.78        172.36        151.96        139.78
15        136.89        136.23        151.96        136.23
16        132.42        133.56        151.96        132.42
17        129.74        130.67        151.96        129.74
18        129.19        130.67        151.96        128.56
19        125.11        130.67        151.96        125.11
20        122.44        122.44        151.96        122.44
