cost        CG2        HBCS        ScaleStar        OPT
1        700.42        700.42        700.42        700.42
2        533.4        661.75        659.84        533.4
3        463.28        612.66        463.28        463.28
4        428        606.92        428        428
5        383.59        408.45        399.38        383.59
6        356.88        408.45        388.26        347.89
7        306.34        309.21        307.3        306.34
8        296.57        309.21        300.15        296.57
9        280.91        309.21        281.87        280.91
10        266.11        276.13        281.87        266.11
11        254.99        257.86        281.87        254.99
12        244.26        255.95        248.79        244.26
13        238.12        255.95        248.79        237.99
14        230.72        239.41        248.79        230.59
15        225        232.25        248.79        223.11
16        218.01        222.33        248.79        217.39
17        213.1        222.33        248.79        213.1
18        208.66        222.33        248.79        208.66
19        205.94        222.33        248.79        205.94
20        200.46        200.46        248.79        200.46
