cost        CG2        HBCS        ScaleStar        OPT
1        250.92        268.56        250.92        250.92
2        187.18        240.37        191.85        187.18
3        162.74        181.3        162.74        162.74
4        146.23        146.23        146.23        146.23
5        143.36        146.23        144.32        143.36
6        121.51        140.07        121.51        121.51
7        105.01        105.01        105.01        105.01
8        102.13        138.37        103.1        102.13
9        99.16        102.95        103.1        98.24
10        96.08        91.27        103.1        91.27
11        88.39        124.28        89.35        87.37
12        84.5        117.55        89.35        84.5
13        82.34        94.17        89.35        82.34
14        80.42        82.48        89.35        80.42
15        76.67        76.64        89.35        76.64
16        74.51        75.47        89.35        74.51
17        73.55        78.36        89.35        73.55
18        72.98        72.52        89.35        72.52
19        70.39        71.35        89.35        70.38
20        68.86        68.86        89.35        68.86
