cost        CG2        HBCS        ScaleStar        OPT
1        817.88        916.69        912.97        817.88
2        620.25        733.94        733.94        620.25
3        536.31        536.31        536.31        536.31
4        490.62        655.31        524.09        490.62
5        437.5        457.69        453.97        437.5
6        391.81        629.1        445.47        391.81
7        355.16        431.48        355.16        355.16
8        343.65        431.48        346.66        343.65
9        323.46        332.67        324.17        321.69
10        313.19        332.67        320.45        312.98
11        291.23        299.73        291.23        291.23
12        282.52        299.73        287.51        282.52
13        274.41        274.76        287.51        274.41
14        266.79        274.76        287.51        266.79
15        257.94        274.76        287.51        257.94
16        252.94        264.88        287.51        252.38
17        250.39        264.88        287.51        247.06
18        243.06        264.88        287.51        242.53
19        240.51        264.88        287.51        239.45
20        232.65        232.65        287.51        232.65
