cost        CG2        HBCS        ScaleStar        OPT
1        913.38        957.15        957.15        913.38
2        686        917.2        776.52        686
3        600.58        708.1        600.58        600.58
4        555.31        560.62        560.62        555.31
5        498.79        617.79        486.89        486.89
6        436.52        470.31        460.82        436.52
7        396.58        440.21        396.58        396.58
8        383.26        440.21        383.26        382.34
9        356.98        366.47        373.77        356.98
10        341.89        341.89        343.66        341.89
11        328.58        341.89        343.66        327.65
12        312.42        329.6        319.08        312.42
13        304.03        316.29        319.08        302.05
14        297.37        308.91        319.08        295.39
15        285.08        301.23        319.08        285.08
16        280.34        293.86        319.08        280.34
17        272.96        284.37        319.08        272.96
18        268.46        284.37        319.08        268.46
19        263.93        284.37        319.08        263.93
20        257.09        257.09        319.08        257.09
