cost        CG2        HBCS        ScaleStar        OPT
1        1059.55        1062.52        1059.12        1059.12
2        847.64        849.18        848.32        847.64
3        730.77        957.34        731.45        730.77
4        629.45        743.99        629.66        629.45
5        568.46        568.68        568.68        567.61
6        520.18        521.71        520.86        520.18
7        461.74        603.52        462.42        461.74
8        442.27        486.65        442.95        442.27
9        426.61        568.39        427.36        426.61
10        407.13        451.52        407.88        407.13
11        391.55        393.08        392.23        391.55
12        372.07        375.51        372.75        366.41
13        354.5        356.03        372.75        354.5
14        344.76        346.29        372.75        344.76
15        336.97        339.6        372.75        336.97
16        327.23        339.6        372.75        327.23
17        321.39        339.6        372.75        321.39
18        316.69        339.6        372.75        316.69
19        306.85        339.6        372.75        306.85
20        300.33        300.33        372.75        300.33
