cost        CG2        HBCS        ScaleStar
2        9359.02        14049.36        9371.35
3        6506.14        10934.15        6507.13
4        5421.79        7780.98        5502.75
5        4872.96        5267.7        5502.75
6        4506.23        4609.4        5502.75
7        4240.2        4308.88        5502.75
8        4048.21        4197.45        5502.75
9        3903.02        4101.68        5502.75
10        3787.4        4013.39        5502.75
11        3695.02        3961.91        5502.75
12        3620.77        3921.23        5502.75
13        3559.03        3873.69        5502.75
14        3505.57        3834.14        5502.75
15        3459.97        3797.98        5502.75
16        3417.62        3763.22        5502.75
17        3382.18        3739.65        5502.75
18        3349.86        3707.2        5502.75
19        3321.75        3682.06        5502.75
20        3293.62        3658.9        5502.75
21        3272.22        3272.22        5502.75
