cost        CG2        HBCS        ScaleStar
2        9526.79        14525.78        9545.91
3        6629.35        11005.19        6629.49
4        5520.84        8034.02        5591.36
5        4950.83        5298.51        5591.36
6        4584.39        4567.05        5591.36
7        4319.42        4380.6        5591.36
8        4122.05        4278.65        5591.36
9        3972.38        4166.65        5591.36
10        3855.97        4095.07        5591.36
11        3763.67        4038.77        5591.36
12        3687.29        3997.25        5591.36
13        3625        3947.66        5591.36
14        3568.43        3906.22        5591.36
15        3520.89        3853.95        5591.36
16        3478.74        3823.06        5591.36
17        3443.16        3803.25        5591.36
18        3410.31        3777.77        5591.36
19        3380.78        3746.73        5591.36
20        3353.78        3716.78        5591.36
21        3330.38        3330.38        5591.36
