cost        CG2        HBCS        ScaleStar
1        9129.29        13719.5        9132.05
2        6353.54        10512.17        6351.7
3        5290.65        7670.37        5370.23
4        4751.06        5116.21        5370.23
5        4397.71        4474.62        5370.23
6        4139.14        4207.17        5370.23
7        3953.64        4107.27        5370.23
8        3810.6        4011.4        5370.23
9        3698.36        3924.56        5370.23
10        3609.06        3858.92        5370.23
11        3534.93        3814.41        5370.23
12        3474.56        3773.47        5370.23
13        3423.04        3732.38        5370.23
14        3376.83        3710.22        5370.23
15        3337.15        3684.21        5370.23
16        3302.79        3647.12        5370.23
17        3271.14        3620.98        5370.23
18        3242.26        3594.25        5370.23
19        3216.37        3570.64        5370.23
20        3194.97        3194.97        5370.23
