cost        CG2        HBCS        ScaleStar
2        9887.16        14948.74        9900.55
3        6875.19        11549.39        6876.39
4        5727.33        8322.9        5808.76
5        5129.78        5478.28        5808.76
6        4756.58        4848.77        5808.76
7        4478.93        4546.76        5808.76
8        4274.91        4446.26        5808.76
9        4121.49        4341.17        5808.76
10        4004.16        4254.02        5808.76
11        3905.92        4189.08        5808.76
12        3827.24        4144.27        5808.76
13        3761.77        4092.63        5808.76
14        3706.59        4038.68        5808.76
15        3656.72        4007.93        5808.76
16        3613.57        3976.41        5808.76
17        3576.25        3935.66        5808.76
18        3541.58        3909.93        5808.76
19        3510.89        3888.51        5808.76
20        3482.98        3873.39        5808.76
21        3459.72        3459.72        5808.76
