cost        CG2        HBCS        ScaleStar
2        9999.29        15066.1        10003.75
3        6955.51        11518.91        6958.27
4        5794.66        8511.21        5882.77
5        5188.54        5612.2        5882.77
6        4817.2        5009.47        5882.77
7        4533.87        4618.94        5882.77
8        4329.64        4502        5882.77
9        4171.92        4378.66        5882.77
10        4050.49        4301.13        5882.77
11        3953.55        4231.27        5882.77
12        3872.32        4185.6        5882.77
13        3805.8        4128.86        5882.77
14        3747.54        4099.12        5882.77
15        3699.68        4058.72        5882.77
16        3656.4        4024.34        5882.77
17        3617.52        3997.87        5882.77
18        3583.1        3963.61        5882.77
19        3552.32        3940.54        5882.77
20        3523.87        3919.74        5882.77
21        3499.48        3499.48        5882.77
