cost        CG2        HBCS        ScaleStar
2        9626.26        14559.38        9621.8
3        6690.43        11348.89        6692.35
4        5572.75        8105.94        5664.84
5        5009.54        5521.4        5664.84
6        4636.39        4677.8        5664.84
7        4360.41        4435.76        5664.84
8        4160.16        4316.34        5664.84
9        4013.5        4226.19        5664.84
10        3896.81        4140.46        5664.84
11        3804.21        4079.47        5664.84
12        3726.12        4042.73        5664.84
13        3661.67        3990.54        5664.84
14        3605.87        3940.67        5664.84
15        3557.51        3895.18        5664.84
16        3516.58        3866.07        5664.84
17        3479.9        3834.92        5664.84
18        3446.2        3814.02        5664.84
19        3416.54        3787.56        5664.84
20        3388.61        3763.99        5664.84
21        3366.32        3366.32        5664.84
