cost        CG2        HBCS        ScaleStar        OPT
1        1095.48        1272.7        1239.98        1095.48
2        853.01        1211.92        897        841.75
3        738.9        885.31        780.98        723.6
4        620.75        722.32        662.82        620.75
5        565.5        683.65        565.5        545.78
6        512.8        702.21        526.82        502.64
7        473.42        685.99        487.44        470.2
8        455        463.5        455        439.31
9        431.45        438.78        455        422.77
10        416.29        419        455        406.01
11        399.75        409.27        455        392.33
12        385.62        400.79        455        379.54
13        376.52        400.79        455        369.19
14        366.6        400.79        455        359.98
15        360.11        393.46        455        352.24
16        351.12        393.46        455        344.5
17        344.5        383.33        455        338.34
18        339.87        383.33        455        333.35
19        333.44        376.85        455        328.71
20        328.71        328.71        455        328.71
