cost        CG2        HBCS        ScaleStar        OPT
1        810.12        930.19        830.68        779.25
2        578.86        930.19        578.86        578.86
3        534.3        815.44        558.74        469.42
4        449.3        701.32        484.16        439.32
5        374.72        571.35        374.72        374.72
6        362.03        503        362.03        348.69
7        325.55        379.75        346.81        323.19
8        304.84        318.12        310.33        304.84
9        294.64        292.09        310.33        290.96
10        276.4        292.09        310.33        276.4
11        272.65        283.42        310.33        267.36
12        260.98        275.2        310.33        258.33
13        253.33        261.25        310.33        250.04
14        250.04        261.25        310.33        244.02
15        244.46        261.25        310.33        238.07
16        239.62        261.25        310.33        233.77
17        234.52        261.25        310.33        230.92
18        230.98        257.42        310.33        228.02
19        225.77        251.93        310.33        225.54
20        224.2        224.2        310.33        224.2
