cost        CG2        HBCS        ScaleStar        OPT
1        913        1097.88        972.5        913
2        730.25        956.99        730.25        685.84
3        609.12        779.12        625.91        609.12
4        504.79        671.18        522.21        504.79
5        460.38        635.76        460.38        439.76
6        420        467.67        425.6        410.4
7        385.22        452.87        405.83        384.72
8        370.42        370.42        370.42        361.2
9        350.23        352.71        370.42        343.92
10        340.67        346.52        370.42        332.84
11        325.44        332.52        370.42        319.25
12        314.56        329.58        370.42        308.63
13        307.59        329.58        370.42        300.81
14        298.45        329.58        370.42        294.33
15        291.2        325.13        370.42        286.55
16        286.55        317.31        370.42        280.46
17        280.46        317.31        370.42        275.4
18        277.51        317.31        370.42        271.96
19        271.96        317.31        370.42        267.61
20        267.61        267.61        370.42        267.61
