cost        CG2        HBCS        ScaleStar        OPT
1        819.5        983.76        839.48        815.68
2        618.48        686.26        630.94        618.48
3        535.81        774.1        535.81        535.18
4        464.62        503.8        470.08        457.61
5        396.98        485.02        402.08        396.98
6        370.63        419.29        371.98        370.63
7        345.7        405.12        348.46        345.7
8        323.53        350.16        325.79        323.53
9        311.77        336.67        325.79        310.74
10        298.98        300.97        325.79        297.99
11        286.23        295.87        325.79        286.23
12        278.33        292.92        325.79        278.01
13        271.36        281.17        325.79        270.32
14        263.9        281.17        325.79        263.34
15        257.22        281.17        325.79        257.22
16        252.01        281.17        325.79        252.01
17        247.53        279.06        325.79        247.24
18        243.31        273.62        325.79        242.95
19        239.01        273.62        325.79        239.01
20        235.37        235.37        325.79        235.37
