cost        CG2        HBCS        ScaleStar        OPT
1        1063.15        1285.36        1131.36        1052.52
2        797.25        964.06        797.74        797.25
3        683.2        684.9        684.9        683.2
4        590.21        654.1        606.06        590.21
5        511.23        749.86        511.71        511.23
6        479.78        552.03        474.1        475.8
7        442.44        457.68        450.87        442.44
8        414.64        418.93        419.42        414.64
9        398.64        403.21        419.42        398.64
10        383.48        391.59        419.42        382.02
11        366.3        382.15        419.42        365.96
12        356.31        367        419.42        356.31
13        346.94        360.95        419.42        346.94
14        337.78        356.21        419.42        336.81
15        331.49        356.21        419.42        330
16        323.97        356.21        419.42        323.62
17        317.5        349.24        419.42        317.5
18        313        349.24        419.42        312.11
19        307.63        349.24        419.42        307.51
20        303.01        303.01        419.42        303.01
